#Magnetic field (mT)	Frequency (GHz)	Normalized transmission
65.0	2.095662300	0.999077623
65.0	2.095682300	0.999348547
65.0	2.095702300	1.002412486
65.0	2.095722300	1.000960475
65.0	2.095742300	1.000327065
65.0	2.095762300	0.996827337
65.0	2.095782300	1.000896315
65.0	2.095802300	1.000404811
65.0	2.095822300	0.999799084
65.0	2.095842300	1.002838223
65.0	2.095862300	0.999132429
65.0	2.095882400	0.998665380
65.0	2.095902400	0.999122148
65.0	2.095922400	0.998185855
65.0	2.095942400	0.999854418
65.0	2.095962400	0.999511771
65.0	2.095982400	1.000717723
65.0	2.096002400	1.002569882
65.0	2.096022400	1.000311019
65.0	2.096042400	0.999412064
65.0	2.096062400	0.998385255
65.0	2.096082400	0.999796856
65.0	2.096102400	0.999175581
65.0	2.096122400	0.998997140
65.0	2.096142500	0.997612180
65.0	2.096162500	0.996830694
65.0	2.096182500	1.000668090
65.0	2.096202500	1.000290143
65.0	2.096222500	0.998516664
65.0	2.096242500	0.998643053
65.0	2.096262500	0.998295801
65.0	2.096282500	1.000219679
65.0	2.096302500	0.999967734
65.0	2.096322500	0.998720284
65.0	2.096342500	1.000719233
65.0	2.096362500	0.999857977
65.0	2.096382600	0.999227324
65.0	2.096402600	0.998168263
65.0	2.096422600	1.000385774
65.0	2.096442600	0.998223413
65.0	2.096462600	0.999136653
65.0	2.096482600	0.998177730
65.0	2.096502600	0.999096774
65.0	2.096522600	0.999367412
65.0	2.096542600	0.999070894
65.0	2.096562600	1.000256604
65.0	2.096582600	0.998924684
65.0	2.096602600	1.001481799
65.0	2.096622600	0.997565853
65.0	2.096642700	0.997581201
65.0	2.096662700	1.000774470
65.0	2.096682700	0.999034253
65.0	2.096702700	0.999154363
65.0	2.096722700	0.998115271
65.0	2.096742700	0.999500491
65.0	2.096762700	0.999215988
65.0	2.096782700	0.998205684
65.0	2.096802700	0.999825605
65.0	2.096822700	0.997994787
65.0	2.096842700	0.997467935
65.0	2.096862700	0.998446198
65.0	2.096882800	0.997717780
65.0	2.096902800	0.998112496
65.0	2.096922800	0.998838970
65.0	2.096942800	0.997189434
65.0	2.096962800	0.998449292
65.0	2.096982800	0.996936310
65.0	2.097002800	0.997904820
65.0	2.097022800	0.998930636
65.0	2.097042800	1.000097408
65.0	2.097062800	0.999276164
65.0	2.097082800	0.997377259
65.0	2.097102800	0.999208691
65.0	2.097122800	0.998574916
65.0	2.097142900	1.002237444
65.0	2.097162900	0.998979304
65.0	2.097182900	0.998953947
65.0	2.097202900	0.997407094
65.0	2.097222900	0.997139794
65.0	2.097242900	1.000304229
65.0	2.097262900	1.000253252
65.0	2.097282900	0.996516285
65.0	2.097302900	1.000590189
65.0	2.097322900	0.998386942
65.0	2.097342900	0.999259893
65.0	2.097362900	0.999697333
65.0	2.097383000	0.997230345
65.0	2.097403000	1.001065256
65.0	2.097423000	0.998511120
65.0	2.097443000	0.999470746
65.0	2.097463000	0.998294741
65.0	2.097483000	0.998591682
65.0	2.097503000	0.997033776
65.0	2.097523000	1.000418266
65.0	2.097543000	0.998133245
65.0	2.097563000	0.996235230
65.0	2.097583000	0.998023430
65.0	2.097603000	1.000305359
65.0	2.097623000	0.997632231
65.0	2.097643100	0.998695228
65.0	2.097663100	1.000382848
65.0	2.097683100	0.999272458
65.0	2.097703100	0.999125095
65.0	2.097723100	1.000076532
65.0	2.097743100	0.999816904
65.0	2.097763100	0.999206347
65.0	2.097783100	0.997177368
65.0	2.097803100	0.998932661
65.0	2.097823100	0.999685020
65.0	2.097843100	0.999116835
65.0	2.097863100	0.998583743
65.0	2.097883200	0.998019635
65.0	2.097903200	0.997673173
65.0	2.097923200	0.998831492
65.0	2.097943200	1.000340568
65.0	2.097963200	0.998380203
65.0	2.097983200	0.998610696
65.0	2.098003200	0.999401715
65.0	2.098023200	0.997867992
65.0	2.098043200	0.998571160
65.0	2.098063200	0.998808250
65.0	2.098083200	0.997961986
65.0	2.098103200	0.999311539
65.0	2.098123200	0.997749876
65.0	2.098143300	1.000991628
65.0	2.098163300	0.998697422
65.0	2.098183300	0.999321980
65.0	2.098203300	1.000806296
65.0	2.098223300	0.998929746
65.0	2.098243300	1.000013219
65.0	2.098263300	1.000474480
65.0	2.098283300	0.999432386
65.0	2.098303300	0.997908107
65.0	2.098323300	0.997437549
65.0	2.098343300	0.999623266
65.0	2.098363300	0.998690408
65.0	2.098383400	0.999913857
65.0	2.098403400	1.000861818
65.0	2.098423400	0.997638929
65.0	2.098443400	1.001177625
65.0	2.098463400	0.998811916
65.0	2.098483400	0.999474521
65.0	2.098503400	1.000926465
65.0	2.098523400	1.000036152
65.0	2.098543400	1.000723415
65.0	2.098563400	0.998126432
65.0	2.098583400	0.999028173
65.0	2.098603400	1.000506004
65.0	2.098623400	1.000019912
65.0	2.098643500	1.000001920
65.0	2.098663500	0.998857425
65.0	2.098683500	0.998592630
65.0	2.098703500	1.000194118
65.0	2.098723500	0.997548047
65.0	2.098743500	0.997655693
65.0	2.098763500	0.998853016
65.0	2.098783500	0.998660039
65.0	2.098803500	0.997926364
65.0	2.098823500	1.000083608
65.0	2.098843500	0.998894241
65.0	2.098863500	1.001857487
65.0	2.098883600	1.002424168
65.0	2.098903600	1.001206465
65.0	2.098923600	0.999363541
65.0	2.098943600	1.002349314
65.0	2.098963600	1.000043481
65.0	2.098983600	0.999910340
65.0	2.099003600	1.002886133
65.0	2.099023600	0.999348084
65.0	2.099043600	0.999430119
65.0	2.099063600	0.999501094
65.0	2.099083600	0.999816746
65.0	2.099103600	1.000321794
65.0	2.099123600	1.001075651
65.0	2.099143700	0.999962031
65.0	2.099163700	1.001038574
65.0	2.099183700	1.002404272
65.0	2.099203700	0.998133999
65.0	2.099223700	0.999975783
65.0	2.099243700	1.000997656
65.0	2.099263700	1.000250399
65.0	2.099283700	1.001718284
65.0	2.099303700	0.999368631
65.0	2.099323700	0.999490732
65.0	2.099343700	0.998759389
65.0	2.099363700	1.000214451
65.0	2.099383800	1.000235864
65.0	2.099403800	1.003263622
65.0	2.099423800	1.001839970
65.0	2.099443800	0.998189487
65.0	2.099463800	1.001211606
65.0	2.099483800	0.999383460
65.0	2.099503800	0.996575916
65.0	2.099523800	1.000437738
65.0	2.099543800	0.998822443
65.0	2.099563800	1.001475359
65.0	2.099583800	0.999107900
65.0	2.099603800	1.001611189
65.0	2.099623800	1.000602287
65.0	2.099643900	0.999631233
65.0	2.099663900	1.002063842
65.0	2.099683900	0.999824941
65.0	2.099703900	0.998757359
65.0	2.099723900	1.000049551
65.0	2.099743900	1.000920185
65.0	2.099763900	0.999596387
65.0	2.099783900	0.999170284
65.0	2.099803900	0.999253996
65.0	2.099823900	1.000446065
65.0	2.099843900	1.002452423
65.0	2.099863900	0.999869251
65.0	2.099884000	0.997164733
65.0	2.099904000	1.001351862
65.0	2.099924000	1.000466988
65.0	2.099944000	1.001772765
65.0	2.099964000	1.000154244
65.0	2.099984000	0.999856672
65.0	2.100004000	0.999581870
65.0	2.100024000	1.000133782
65.0	2.100044000	1.002037395
65.0	2.100064000	0.999399821
65.0	2.100084000	1.001677367
65.0	2.100104000	1.000284550
65.0	2.100124000	1.000572512
65.0	2.100144100	1.002864904
65.0	2.100164100	1.000772594
65.0	2.100184100	1.002286617
65.0	2.100204100	0.999419726
65.0	2.100224100	0.998885618
65.0	2.100244100	0.999309949
65.0	2.100264100	1.000756042
65.0	2.100284100	1.000627741
65.0	2.100304100	0.999482665
65.0	2.100324100	1.000129995
65.0	2.100344100	1.001284971
65.0	2.100364100	0.999984234
65.0	2.100384200	0.999554020
65.0	2.100404200	1.001499289
65.0	2.100424200	0.997466528
65.0	2.100444200	1.001859629
65.0	2.100464200	0.998284743
65.0	2.100484200	1.000561071
65.0	2.100504200	1.000598808
65.0	2.100524200	1.001212521
65.0	2.100544200	1.001426719
65.0	2.100564200	1.001464686
65.0	2.100584200	0.998096923
65.0	2.100604200	1.001602055
65.0	2.100624200	0.999020176
65.0	2.100644300	1.001092317
65.0	2.100664300	0.998619420
65.0	2.100684300	0.999543847
65.0	2.100704300	1.000789537
65.0	2.100724300	0.999870320
65.0	2.100744300	0.999532596
65.0	2.100764300	1.002076577
65.0	2.100784300	0.999369923
65.0	2.100804300	0.998881808
65.0	2.100824300	1.002411517
65.0	2.100844300	0.999720522
65.0	2.100864300	1.000039795
65.0	2.100884400	1.002311072
65.0	2.100904400	0.998449917
65.0	2.100924400	1.000393149
65.0	2.100944400	0.999679875
65.0	2.100964400	1.000324502
65.0	2.100984400	0.999056342
65.0	2.101004400	0.999797215
65.0	2.101024400	1.001945460
65.0	2.101044400	1.000034904
65.0	2.101064400	0.998445706
65.0	2.101084400	0.999197219
65.0	2.101104400	0.998909511
65.0	2.101124400	1.000547585
65.0	2.101144500	1.000731966
65.0	2.101164500	0.999555610
65.0	2.101184500	1.000606497
65.0	2.101204500	0.999685852
65.0	2.101224500	1.000639039
65.0	2.101244500	1.000234337
65.0	2.101264500	0.996788219
65.0	2.101284500	1.001860269
65.0	2.101304500	0.999730593
65.0	2.101324500	1.000640396
65.0	2.101344500	0.998932635
65.0	2.101364500	0.999807737
65.0	2.101384600	0.999353097
65.0	2.101404600	1.000276573
65.0	2.101424600	0.999652725
65.0	2.101444600	1.001930929
65.0	2.101464600	1.001284018
65.0	2.101484600	0.998931845
65.0	2.101504600	1.001781610
65.0	2.101524600	1.000122101
65.0	2.101544600	1.001882562
65.0	2.101564600	1.000974200
65.0	2.101584600	0.998999277
65.0	2.101604600	1.001060183
65.0	2.101624600	0.998970527
65.0	2.101644700	0.999923202
65.0	2.101664700	1.002198117
65.0	2.101684700	1.002499105
65.0	2.101704700	0.999835793
65.0	2.101724700	1.000686385
65.0	2.101744700	0.999941119
65.0	2.101764700	1.000989656
65.0	2.101784700	1.000247622
65.0	2.101804700	0.999971428
65.0	2.101824700	1.001307642
65.0	2.101844700	1.001349411
65.0	2.101864700	0.998885684
65.0	2.101884800	1.000631840
65.0	2.101904800	0.998866537
65.0	2.101924800	0.998582928
65.0	2.101944800	1.000198589
65.0	2.101964800	1.002249655
65.0	2.101984800	0.999575772
65.0	2.102004800	0.998979105
65.0	2.102024800	1.001411595
65.0	2.102044800	0.998526294
65.0	2.102064800	0.999281330
65.0	2.102084800	1.001537397
65.0	2.102104800	0.996557578
65.0	2.102124800	0.999515194
65.0	2.102144900	1.000131591
65.0	2.102164900	0.998650810
65.0	2.102184900	0.998720585
65.0	2.102204900	1.001717184
65.0	2.102224900	1.000435460
65.0	2.102244900	0.999647212
65.0	2.102264900	0.999318372
65.0	2.102284900	1.002459337
65.0	2.102304900	1.000857596
65.0	2.102324900	0.999353400
65.0	2.102344900	0.997164779
65.0	2.102364900	1.002042398
65.0	2.102385000	0.999711780
65.0	2.102405000	1.001800605
65.0	2.102425000	1.000105123
65.0	2.102445000	1.001440834
65.0	2.102465000	0.998623708
65.0	2.102485000	1.001114106
65.0	2.102505000	1.001109935
65.0	2.102525000	0.999230416
65.0	2.102545000	1.000008984
65.0	2.102565000	0.996953129
65.0	2.102585000	0.997753738
65.0	2.102605000	1.002494433
65.0	2.102625100	1.002296755
65.0	2.102645100	0.998730695
65.0	2.102665100	1.000335669
65.0	2.102685100	1.001205660
65.0	2.102705100	1.000685419
65.0	2.102725100	0.999124322
65.0	2.102745100	0.999968054
65.0	2.102765100	1.000181241
65.0	2.102785100	0.996610983
65.0	2.102805100	0.998190812
65.0	2.102825100	1.001500920
65.0	2.102845100	1.000752588
65.0	2.102865100	0.999557259
65.0	2.102885200	1.000277698
65.0	2.102905200	1.000374845
65.0	2.102925200	0.999388795
65.0	2.102945200	1.000090669
65.0	2.102965200	1.000403174
65.0	2.102985200	0.999713215
65.0	2.103005200	1.001912608
65.0	2.103025200	1.000511391
65.0	2.103045200	1.002296399
65.0	2.103065200	0.998585924
65.0	2.103085200	1.000922489
65.0	2.103105200	0.999032789
65.0	2.103125300	1.001484297
65.0	2.103145300	1.000630104
65.0	2.103165300	0.999336668
65.0	2.103185300	1.002961170
65.0	2.103205300	1.003152833
65.0	2.103225300	1.000558596
65.0	2.103245300	1.000571985
65.0	2.103265300	1.000591800
65.0	2.103285300	1.000294495
65.0	2.103305300	1.001489170
65.0	2.103325300	1.000877035
65.0	2.103345300	1.000775538
65.0	2.103365300	0.998539911
65.0	2.103385400	1.001353306
65.0	2.103405400	1.001314285
65.0	2.103425400	1.001450247
65.0	2.103445400	1.000391479
65.0	2.103465400	1.000867023
65.0	2.103485400	1.000636906
65.0	2.103505400	0.997625965
65.0	2.103525400	1.001564359
65.0	2.103545400	1.001697224
65.0	2.103565400	0.999012034
65.0	2.103585400	1.000318637
65.0	2.103605400	0.998430391
65.0	2.103625500	0.998760343
65.0	2.103645500	1.000275208
65.0	2.103665500	0.999544333
65.0	2.103685500	1.001287189
65.0	2.103705500	0.998165718
65.0	2.103725500	1.000462311
65.0	2.103745500	1.000523185
65.0	2.103765500	0.999784787
65.0	2.103785500	1.000549395
65.0	2.103805500	1.000303724
65.0	2.103825500	1.001161938
65.0	2.103845500	0.999108993
65.0	2.103865500	0.999228469
65.0	2.103885600	0.999776099
65.0	2.103905600	0.998557016
65.0	2.103925600	1.002097846
65.0	2.103945600	1.002118738
65.0	2.103965600	1.001709819
65.0	2.103985600	1.001096108
65.0	2.104005600	1.000793115
65.0	2.104025600	1.000841578
65.0	2.104045600	0.998822836
65.0	2.104065600	1.001377852
65.0	2.104085600	0.999921127
65.0	2.104105600	1.003231482
65.0	2.104125700	1.000251899
65.0	2.104145700	0.997828219
65.0	2.104165700	1.002206637
65.0	2.104185700	1.000025816
65.0	2.104205700	1.001649652
65.0	2.104225700	1.001254135
65.0	2.104245700	0.999497003
65.0	2.104265700	1.000227556
65.0	2.104285700	0.998822530
65.0	2.104305700	0.999127680
65.0	2.104325700	1.000409708
65.0	2.104345700	1.001974341
65.0	2.104365700	1.000877437
65.0	2.104385800	1.000709857
65.0	2.104405800	1.000880019
65.0	2.104425800	1.002086261
65.0	2.104445800	0.999817866
65.0	2.104465800	1.000959660
65.0	2.104485800	1.001447424
65.0	2.104505800	1.000893986
65.0	2.104525800	0.998472833
65.0	2.104545800	1.000343889
65.0	2.104565800	0.999996295
65.0	2.104585800	1.001653484
65.0	2.104605800	1.000156632
65.0	2.104625900	1.002886223
65.0	2.104645900	1.001997467
65.0	2.104665900	1.000941118
65.0	2.104685900	1.001328056
65.0	2.104705900	0.999098915
65.0	2.104725900	0.998518208
65.0	2.104745900	1.000553436
65.0	2.104765900	0.999934576
65.0	2.104785900	0.999976127
65.0	2.104805900	0.998628663
65.0	2.104825900	0.998172777
65.0	2.104845900	0.996793882
65.0	2.104865900	1.000268070
65.0	2.104886000	1.000568407
65.0	2.104906000	1.001625624
65.0	2.104926000	1.000545553
65.0	2.104946000	1.000530553
65.0	2.104966000	0.999918593
65.0	2.104986000	1.000992521
65.0	2.105006000	0.999845096
65.0	2.105026000	1.000003013
65.0	2.105046000	1.002478684
65.0	2.105066000	1.000412097
65.0	2.105086000	1.001831592
65.0	2.105106000	0.999168103
65.0	2.105126100	1.001196775
65.0	2.105146100	1.002280848
65.0	2.105166100	1.001949820
65.0	2.105186100	1.001615213
65.0	2.105206100	1.002527290
65.0	2.105226100	1.001149295
65.0	2.105246100	0.998503609
65.0	2.105266100	1.002307507
65.0	2.105286100	0.998848401
65.0	2.105306100	1.000364047
65.0	2.105326100	1.000010069
65.0	2.105346100	0.998468049
65.0	2.105366100	0.999613178
65.0	2.105386200	0.999658517
65.0	2.105406200	1.000250379
65.0	2.105426200	1.000807914
65.0	2.105446200	1.001183396
65.0	2.105466200	1.000236385
65.0	2.105486200	1.000683204
65.0	2.105506200	0.999717684
65.0	2.105526200	1.001629693
65.0	2.105546200	1.001376878
65.0	2.105566200	0.998331398
65.0	2.105586200	1.000744250
65.0	2.105606200	1.000137657
65.0	2.105626300	0.998981295
65.0	2.105646300	1.000231179
65.0	2.105666300	1.000446853
65.0	2.105686300	1.002681864
65.0	2.105706300	1.000664402
65.0	2.105726300	0.999791162
65.0	2.105746300	1.001121389
65.0	2.105766300	1.001270198
65.0	2.105786300	0.998586621
65.0	2.105806300	0.999650412
65.0	2.105826300	1.002651042
65.0	2.105846300	0.999744844
65.0	2.105866300	1.001950093
65.0	2.105886400	0.999630188
65.0	2.105906400	1.000394943
65.0	2.105926400	0.996553266
65.0	2.105946400	1.001722087
65.0	2.105966400	1.002749690
65.0	2.105986400	0.999849370
65.0	2.106006400	0.999366696
65.0	2.106026400	1.001414837
65.0	2.106046400	1.001470764
65.0	2.106066400	1.000212168
65.0	2.106086400	1.003926911
65.0	2.106106400	1.000944536
65.0	2.106126500	0.998893277
65.0	2.106146500	0.998865508
65.0	2.106166500	1.001536539
65.0	2.106186500	1.000417626
65.0	2.106206500	1.000189465
65.0	2.106226500	1.000397787
65.0	2.106246500	1.001825827
65.0	2.106266500	1.000717351
65.0	2.106286500	1.001538369
65.0	2.106306500	1.004075242
65.0	2.106326500	1.003779520
65.0	2.106346500	1.000164553
65.0	2.106366500	0.999356845
65.0	2.106386600	1.000925120
65.0	2.106406600	1.000853088
65.0	2.106426600	1.000979501
65.0	2.106446600	1.000560121
65.0	2.106466600	0.998445011
65.0	2.106486600	1.001430510
65.0	2.106506600	1.001173492
65.0	2.106526600	0.998093717
65.0	2.106546600	1.000623751
65.0	2.106566600	1.002438987
65.0	2.106586600	1.001120251
65.0	2.106606600	0.999937143
65.0	2.106626700	1.001291025
65.0	2.106646700	1.000873729
65.0	2.106666700	0.998810533
65.0	2.106686700	0.998757247
65.0	2.106706700	0.999506056
65.0	2.106726700	1.002270558
65.0	2.106746700	0.998691199
65.0	2.106766700	0.998855301
65.0	2.106786700	0.997820775
65.0	2.106806700	1.000116545
65.0	2.106826700	1.000058922
65.0	2.106846700	1.001453924
65.0	2.106866700	1.000052186
65.0	2.106886800	1.000918294
65.0	2.106906800	1.000328016
65.0	2.106926800	1.004561535
65.0	2.106946800	1.001497142
65.0	2.106966800	1.000337135
65.0	2.106986800	0.999834286
65.0	2.107006800	1.000841181
65.0	2.107026800	1.000038605
65.0	2.107046800	1.000050363
65.0	2.107066800	1.000146308
65.0	2.107086800	1.001116703
65.0	2.107106800	1.002331171
65.0	2.107126900	0.999597112
65.0	2.107146900	1.000643405
65.0	2.107166900	1.002871847
65.0	2.107186900	1.001364522
65.0	2.107206900	1.001536586
65.0	2.107226900	1.000423407
65.0	2.107246900	1.001740837
65.0	2.107266900	1.000463205
65.0	2.107286900	1.002631791
